Fila,Columna,NPequeño1,NPequeño2,NPequeño3
23,6,42,0,0
22,6,0,17,0
22,7,0,34,0
21,7,0,21,0
20,8,33,11,0
19,9,0,30,10
18,10,28,0,0
17,11,52,52,0
16,12,75,50,13
15,13,27,45,11
14,14,57,19,0
13,15,0,45,0
12,16,0,44,0
12,17,0,0,86
11,18,0,65,0
10,19,71,39,0
9,20,0,21,0
8,21,0,60,0
8,22,65,0,0
7,23,0,0,0
6,24,0,52,0
